herb_id,category,herb_korean,herb_hanja,tag_count,tags,tag_source,primary_body_category,body_categories,cluster
ANIMAL_001,어부,이어담 (잉어쓸개),鯉魚膽,3,시력보조|염증완화|이명완화,auto,머리·눈·귀,머리·눈·귀|염증·해독,0
ANIMAL_002,어부,즉어 (붕어),鯽魚,3,기력보강|소화력강화|가스완화,auto,위·소화,위·소화|정기·기력,1
ANIMAL_003,어부,오적어골 (갑오징어뼈),烏賊魚骨,4,출혈멎음|이명완화|구충|통증완화,auto,혈·순환,혈·순환|머리·눈·귀|근골·관절|염증·해독,2
ANIMAL_004,어부,여어 (가물치),蠡魚,2,부종완화|염증완화,auto,신장·소변,신장·소변|염증·해독,3
ANIMAL_005,어부,만리어 (뱀장어),鰻鱺魚,4,기력보강|가려움완화|염증완화|구충,auto,염증·해독,염증·해독|정기·기력|피부,6
ANIMAL_006,어부,교어피 (상어 가죽),鮫魚皮,3,해독|심신안정|출혈멎음,auto,염증·해독,염증·해독|심·신경|혈·순환,6
ANIMAL_007,어부,궐어 (쏘가리),鱖魚,4,기력보강|구충|출혈멎음|소화력강화,auto,정기·기력,정기·기력|위·소화|혈·순환|염증·해독,2
ANIMAL_008,어부,청어,靑魚,1,관절통완화,auto,근골·관절,근골·관절,4
ANIMAL_009,어부,석수어 (조기),石首魚,3,소화력강화|기력보강|가스완화,auto,위·소화,위·소화|정기·기력,1
ANIMAL_010,어부,치어 (숭어),鯔魚,2,기력보강|소화력강화,auto,정기·기력,정기·기력|위·소화,2
ANIMAL_011,어부,노어 (농어),鱸魚,3,기력보강|소화력강화|뼈근육강화,auto,위·소화,위·소화|정기·기력|근골·관절,1
ANIMAL_012,어부,점어 (메기),鮎魚,2,소변개선|부종완화,auto,신장·소변,신장·소변,3
ANIMAL_013,어부,선어 (드렁허리),鱔魚,5,생리조절|기력보강|관절통완화|피부개선|소변개선,auto,여성·부인,여성·부인|정기·기력|근골·관절|신장·소변|피부,3
ANIMAL_014,어부,비목어 (가자미),比目魚,1,기력보강,auto,정기·기력,정기·기력,2
ANIMAL_015,어부,공어 (가오리),䱋魚,1,염증완화,auto,염증·해독,염증·해독,6
ANIMAL_016,어부,하돈 (복어),河㹠,2,기력보강|구충,auto,정기·기력,정기·기력|염증·해독,2
ANIMAL_017,어부,화어 (대구),夻魚,1,기력보강,auto,정기·기력,정기·기력,2
ANIMAL_018,어부,팔초어 (문어),八梢魚,4,기력보강|피로회복|간해독|혈액순환,auto+supplement,정기·기력,정기·기력|간·담|혈·순환,2
ANIMAL_019,어부,소팔초어 (낙지),小八梢魚,4,기력보강|피로회복|간해독|혈액순환,supplement,정기·기력,정기·기력|간·담|혈·순환,2
ANIMAL_020,어부,송어,松魚,4,기력보강|뼈근육강화|혈액순환|노화완화,supplement,정기·기력,정기·기력|혈·순환|근골·관절,2
ANIMAL_021,어부,연어,鰱魚,4,기력보강|혈액순환|뼈근육강화|기억력개선,supplement,정기·기력,정기·기력|혈·순환|근골·관절,2
ANIMAL_022,어부,백어 (뱅어),白魚,1,소화력강화,auto,위·소화,위·소화,1
ANIMAL_023,어부,추어 (미꾸라지),鰍魚,2,소화력강화|기력보강,auto+supplement,정기·기력,정기·기력|위·소화,2
ANIMAL_024,어부,황상어 (자가사리),黃顙魚,2,기력보강|소화력강화,supplement,위·소화,위·소화|정기·기력,1
ANIMAL_025,어부,후어 (투구게),鱟魚,4,출혈멎음|구충|생리조절|소화력강화,auto,혈·순환,혈·순환|위·소화|여성·부인|염증·해독,2
ANIMAL_026,어부,은조어 (은어),銀條魚,2,기력보강|소화력강화,supplement,위·소화,위·소화|정기·기력,1
ANIMAL_027,어부,해돈 (돌고래),海㹠,5,염증완화|가려움완화|피부해독|해독|열내림,auto,염증·해독,염증·해독|피부,6
ANIMAL_028,어부,회어 (민어),鮰魚,3,감기완화|기력보강|경련완화,auto+supplement,정기·기력,정기·기력|심·신경,2
ANIMAL_029,어부,어자 (물고기 젓),魚鮓,1,소화력강화,auto,위·소화,위·소화,1
ANIMAL_030,어부,어회 (물고기 회),魚膾,1,소화력강화,auto,위·소화,위·소화,1
ANIMAL_031,충부,백밀 (흰 꿀),白蜜,8,시력보조|심신안정|소화력강화|기력보강|통증완화|면역강화|해독|염증완화,auto,정기·기력,정기·기력|위·소화|염증·해독|머리·눈·귀|심·신경|근골·관절,2
ANIMAL_032,충부,상표초 (뽕나무에 자란 사마귀알집),桑螵蛸,3,남성건강보조|피부개선|소변개선,auto,여성·부인,여성·부인|신장·소변|피부,3
ANIMAL_033,충부,선각 (매미 허물),蟬殼,3,면역강화|해독|시력보조,auto,머리·눈·귀,머리·눈·귀|정기·기력|염증·해독,0
ANIMAL_034,충부,제조 (굼벵이),蠐螬,2,상처회복|뼈강화,auto,피부,피부|근골·관절,5
ANIMAL_035,충부,백강잠 (죽어 굳은 누에),白殭蚕,5,피부개선|경련완화|구충|면역강화|염증완화,auto,피부,피부|염증·해독|심·신경|정기·기력,5
ANIMAL_036,충부,원잠아 (2벌 누에나방),原蚕蛾,4,신장보강|남성건강보조|출혈멎음|소화력강화,auto,신장·소변,신장·소변|위·소화|혈·순환|여성·부인,3
ANIMAL_037,충부,맹충 (등에),䖟蟲,1,어혈개선,auto,혈·순환,혈·순환,2
ANIMAL_038,충부,섬서 (두꺼비),蟾蜍,2,염증완화|면역강화,auto,염증·해독,염증·해독|정기·기력,6
ANIMAL_039,충부,방합,蚌蛤,10,갈증해소|시력보조|해독|열내림|생리조절|기력보강|출혈멎음|구역완화|염증완화|가래완화,auto,염증·해독,염증·해독|위·소화|머리·눈·귀|호흡·폐|혈·순환|여성·부인|정기·기력,6
ANIMAL_040,충부,하 (새우),鰕,2,염증완화|면역강화,auto,염증·해독,염증·해독|정기·기력,6
ANIMAL_041,충부,전라 (우렁이),田螺,5,갈증해소|소변개선|해독|열내림|시력보조,auto,위·소화,위·소화|염증·해독|머리·눈·귀|신장·소변,1
ANIMAL_042,충부,오사 (검은 뱀),烏蛇,2,가려움완화|감기완화,auto,피부,피부|정기·기력,5
ANIMAL_043,충부,백화사 (산무애뱀),白花蛇,3,관절통완화|감기완화|가려움완화,auto,근골·관절,근골·관절|피부|정기·기력,4
ANIMAL_044,충부,사태 (뱀허물),蛇蛻,7,염증완화|경련완화|기침완화|생리조절|해독|면역강화|시력보조,auto,염증·해독,염증·해독|머리·눈·귀|호흡·폐|심·신경|여성·부인|정기·기력,6
ANIMAL_045,충부,복사담 (살무사의 쓸개),蝮蛇膽,1,구충,auto,염증·해독,염증·해독,6
ANIMAL_046,충부,토도사 (굿뱀),土桃蛇,2,감기완화|가려움완화,auto+supplement,정기·기력,정기·기력|피부,2
ANIMAL_047,충부,지주 (말거미),蜘蛛,1,면역강화,auto,정기·기력,정기·기력,2
ANIMAL_048,충부,구인 (지렁이),蚯蚓,5,해독|간해독|기침완화|구충|면역강화,auto,염증·해독,염증·해독|호흡·폐|간·담|정기·기력,6
ANIMAL_049,충부,오공 (지네),蜈蚣,5,생리조절|열내림|심신안정|해독|구충,auto,염증·해독,염증·해독|여성·부인|심·신경,6
ANIMAL_050,충부,합개 (도마뱀붙이),蛤蚧,3,생리조절|기침완화|소변개선,auto,호흡·폐,호흡·폐|여성·부인|신장·소변,1
ANIMAL_051,충부,수질 (거머리),水蛭,3,생리조절|소변개선|부종완화,auto,여성·부인,여성·부인|신장·소변,3
ANIMAL_052,충부,반묘 (가뢰),斑猫,7,소변개선|생리조절|부종완화|염증완화|심신안정|해독|상처회복,auto,신장·소변,신장·소변|여성·부인|염증·해독|심·신경|피부,3
ANIMAL_053,충부,작옹 (쐐기의 벌레집),雀瓮,3,감기완화|경련완화|면역강화,auto,정기·기력,정기·기력|심·신경,2
ANIMAL_054,충부,강랑 (말똥구리),蜣蜋,7,염증완화|생리조절|경련완화|면역강화|심신안정|가스완화|열내림,auto,염증·해독,염증·해독|심·신경|여성·부인|위·소화|정기·기력,6
ANIMAL_055,충부,오령지 (날다람쥐의 말린 똥),五靈脂,2,생리조절|출혈멎음,auto,혈·순환,혈·순환|여성·부인,2
ANIMAL_056,충부,갈 (전갈),蝎,2,감기완화|면역강화,auto,정기·기력,정기·기력,2
ANIMAL_057,충부,누고 (땅강아지),螻蛄,3,부종완화|생리조절|염증완화,auto,염증·해독,염증·해독|여성·부인|신장·소변,6
ANIMAL_058,충부,천산갑,穿山甲,3,염증완화|면역강화|열내림,auto,염증·해독,염증·해독|정기·기력,6
ANIMAL_059,충부,청령 (잠자리),蜻蛉,1,남성건강보조,auto,여성·부인,여성·부인,3
ANIMAL_060,충부,형화 (반딧불이),螢火,3,시력보조|심신안정|해독,auto,머리·눈·귀,머리·눈·귀|심·신경|염증·해독,0
ANIMAL_061,충부,서부 (쥐며느리),鼠婦,2,소변개선|생리조절,auto,여성·부인,여성·부인|신장·소변,3
ANIMAL_062,충부,의어 (반대좀),衣魚,4,피부개선|소변개선|생리조절|면역강화,auto,여성·부인,여성·부인|신장·소변|피부|정기·기력,3
ANIMAL_063,충부,슬자 (이),蝨子,3,염증완화|피부개선|열내림,auto+supplement,염증·해독,염증·해독|피부,6
ANIMAL_064,충부,활사 (올챙이),活師,1,가려움완화,auto,피부,피부,5
ANIMAL_065,충부,회충 (사람의 목에서 나온 회충),蚘蟲,1,시력보조,auto,머리·눈·귀,머리·눈·귀,0
ANIMAL_066,충부,고충 (고독환자에게서 나온 충),蠱蟲,1,해독,supplement,염증·해독,염증·해독,6
PLANT_001,과부,연실 (연밥),蓮實,3,기력보강|소화력강화|갈증해소,auto,위·소화,위·소화|정기·기력,1
PLANT_002,과부,귤피,橘皮,6,소화력강화|부종완화|가래완화|구역완화|기침완화|호흡완화,auto,위·소화,위·소화|호흡·폐|신장·소변,1
PLANT_003,과부,청귤피 (덜 자란 귤의 껍질을 말린 것),靑橘皮,3,통증완화|가스완화|호흡완화,auto,호흡·폐,호흡·폐|위·소화|근골·관절,1
PLANT_004,과부,유자,柚子,1,해독,auto,염증·해독,염증·해독,6
PLANT_005,과부,유감자 (감자나무의 열매),乳柑子,3,소변개선|해독|소화력강화,auto,염증·해독,염증·해독|위·소화|신장·소변,6
PLANT_006,과부,대조 (대추),大棗,3,기력보강|해독|심신안정,auto,정기·기력,정기·기력|심·신경|염증·해독,2
PLANT_007,과부,포도,蒲萄,4,기력보강|기억력개선|소변개선|관절통완화,auto,정기·기력,정기·기력|신장·소변|근골·관절,2
PLANT_008,과부,율자 (밤),栗子,3,기력보강|소화력강화|신장보강,auto,위·소화,위·소화|신장·소변|정기·기력,1
PLANT_009,과부,복분자 (복분자딸기),覆盆子,5,시력보조|기력보강|간해독|남성건강보조|신장보강,auto,정기·기력,정기·기력|머리·눈·귀|간·담|여성·부인|신장·소변,2
PLANT_010,과부,검인 (가시연밥),芡仁,2,신장보강|노화완화,auto,신장·소변,신장·소변|정기·기력,3
PLANT_011,과부,능인 (마름),菱仁,3,기력보강|심신안정|가스완화,auto,심·신경,심·신경|위·소화|정기·기력,2
PLANT_012,과부,앵도 (앵두),櫻桃,2,피부개선|소화력강화,auto,위·소화,위·소화|피부,1
PLANT_013,과부,등자피 (등자나무 과실의 껍질),橙子皮,1,소화력강화,auto,위·소화,위·소화,1
PLANT_014,과부,매실,梅實,1,갈증해소,auto,위·소화,위·소화,1
PLANT_015,과부,모과,木瓜,5,뼈근육강화|갈증해소|부종완화|소화력강화|가래완화,auto,위·소화,위·소화|근골·관절|호흡·폐|신장·소변,1
PLANT_016,과부,홍시,紅柿,6,갈증해소|해독|기침완화|소화력강화|통증완화|출혈멎음,auto,위·소화,위·소화|호흡·폐|근골·관절|염증·해독|혈·순환,1
PLANT_017,과부,비파엽,枇杷葉,1,기침완화,auto,호흡·폐,호흡·폐,1
PLANT_018,과부,여지,荔枝,3,피부개선|불안완화|갈증해소,auto,심·신경,심·신경|위·소화|피부,2
PLANT_019,과부,용안 (용안육),龍眼,3,해독|구충|기억력개선,auto,염증·해독,염증·해독|정기·기력,6
PLANT_020,과부,유당 (우유즙에 설탕을 타서 끓여 만든 것),乳糖,2,심신안정|기력보강,auto,심·신경,심·신경|정기·기력,2
PLANT_021,과부,도핵인 (복숭아씨),桃核仁,6,생리조절|통증완화|혈액순환|소화력강화|어혈개선|구충,auto,여성·부인,여성·부인|혈·순환|근골·관절|위·소화|염증·해독,3
PLANT_022,과부,행핵인 (살구씨),杏核仁,2,기침완화|호흡완화,auto,호흡·폐,호흡·폐,1
PLANT_023,과부,석류,石榴,2,갈증해소|소화력강화,auto+supplement,위·소화,위·소화,1
PLANT_024,과부,이자 (배),梨子,3,상처회복|불안완화|열내림,auto,피부,피부|심·신경|염증·해독,5
PLANT_025,과부,임금 (능금),林檎,3,갈증해소|소화력강화|가래완화,auto,위·소화,위·소화|호흡·폐,1
PLANT_026,과부,이핵인 (자두의 씨),李核仁,1,부종완화,auto,신장·소변,신장·소변,3
PLANT_027,과부,호도 (호두),胡桃,5,기침완화|호흡완화|기력보강|신장보강|혈액순환,auto,호흡·폐,호흡·폐|정기·기력|혈·순환|신장·소변,1
PLANT_028,과부,미후도 (다래),獮猴桃,3,소변개선|열내림|구역완화,auto,신장·소변,신장·소변|위·소화|염증·해독,3
PLANT_029,과부,해송자 (잣),海松子,4,기력보강|관절통완화|두통완화|뼈강화,auto,근골·관절,근골·관절|머리·눈·귀|정기·기력,4
PLANT_030,과부,내자 (사과),柰子,3,기력보강|소화력강화|갈증해소,auto+supplement,위·소화,위·소화|정기·기력,1
PLANT_031,과부,진자 (개암),榛子,2,기력보강|소화력강화,auto,위·소화,위·소화|정기·기력,1
PLANT_032,과부,은행,銀杏,3,기침완화|호흡완화|면역강화,auto,호흡·폐,호흡·폐|정기·기력,1
PLANT_033,과부,비자,榧子,3,염증완화|심신안정|구충,auto,염증·해독,염증·해독|심·신경,6
PLANT_034,과부,산사자 (산사나무의 열매),山査子,2,소화력강화|가래완화,auto,위·소화,위·소화|호흡·폐,1
PLANT_035,과부,야자,椰子,3,기력보강|감기완화|갈증해소,auto,정기·기력,정기·기력|위·소화,2
PLANT_036,과부,무화과,無花果,1,소화력강화,auto,위·소화,위·소화,1
PLANT_037,채부,생강,生薑,7,감기완화|가스완화|구역완화|기침완화|호흡완화|냉증완화|가래완화,auto,호흡·폐,호흡·폐|위·소화|정기·기력,1
PLANT_038,채부,우자 (토란),芋子,4,피부개선|어혈개선|상처회복|소화력강화,auto+supplement,피부,피부|위·소화|혈·순환,5
PLANT_039,채부,오우 (올방개의 뿌리),烏芋,4,시력보조|갈증해소|간해독|소화력강화,auto,위·소화,위·소화|머리·눈·귀|간·담,1
PLANT_040,채부,동규자 (돌아욱씨),冬葵子,3,소변개선|열내림|가래완화,auto,신장·소변,신장·소변|염증·해독|호흡·폐,3
PLANT_041,채부,홍촉규 (접시꽃의 뿌리와 줄기),紅蜀葵,4,소변개선|염증완화|생리조절|열내림,auto,염증·해독,염증·해독|여성·부인|신장·소변,6
PLANT_042,채부,황촉규화 (닥풀),黃蜀葵花,3,염증완화|생리조절|소변개선,auto,여성·부인,여성·부인|신장·소변|염증·해독,3
PLANT_043,채부,현실 (비름의 씨),莧實,3,시력보조|소변개선|열내림,auto,머리·눈·귀,머리·눈·귀|신장·소변|염증·해독,0
PLANT_044,채부,마치현 (쇠비름),馬齒莧,6,갈증해소|소변개선|구충|염증완화|상처회복|어혈개선,auto,위·소화,위·소화|염증·해독|혈·순환|신장·소변|피부,1
PLANT_045,채부,만청 (순무),蔓菁,4,간해독|기력보강|가스완화|소화력강화,auto,정기·기력,정기·기력|위·소화|간·담,2
PLANT_046,채부,내복 (무),萊菔,6,갈증해소|가스완화|소화력강화|출혈멎음|기침완화|가래완화,auto,위·소화,위·소화|호흡·폐|혈·순환,1
PLANT_047,채부,숭채 (배추),菘菜,4,갈증해소|해독|가스완화|소화력강화,auto,위·소화,위·소화|염증·해독,1
PLANT_048,채부,죽순,竹笋,8,갈증해소|소화력강화|소변개선|기력보강|부종완화|불안완화|가래완화|열내림,auto,위·소화,위·소화|호흡·폐|신장·소변|심·신경|정기·기력|염증·해독,1
PLANT_049,채부,서과 (수박),西瓜,5,소변개선|염증완화|가스완화|갈증해소|출혈멎음,auto,위·소화,위·소화|혈·순환|신장·소변|염증·해독,1
PLANT_050,채부,첨과 (참외),甛瓜,4,갈증해소|소변개선|불안완화|열내림,auto,위·소화,위·소화|심·신경|신장·소변|염증·해독,1
PLANT_051,채부,백동과 (동아),白冬瓜,3,심신안정|갈증해소|불안완화,auto,심·신경,심·신경|위·소화,2
PLANT_052,채부,호과 (오이),胡瓜,5,열내림|부종완화|해독|피부개선|소화력강화,auto+supplement,염증·해독,염증·해독|위·소화|신장·소변|피부,6
PLANT_053,채부,사과 (수세미오이),絲瓜,3,해독|염증완화|면역강화,auto,염증·해독,염증·해독|정기·기력,6
PLANT_054,채부,"개채 (겨자, 갓)",芥菜,4,시력보조|기침완화|냉증완화|호흡완화,auto,호흡·폐,호흡·폐|머리·눈·귀|정기·기력,1
PLANT_055,채부,와거 (상추),萵苣,1,혈액순환,auto,혈·순환,혈·순환,2
PLANT_056,채부,고거 (시화),苦苣,2,간해독|기력보강,auto,간·담,간·담|정기·기력,1
PLANT_057,채부,고채 (씀바귀),苦菜,2,염증완화|피부개선,auto,염증·해독,염증·해독|피부,6
PLANT_058,채부,제채 (냉이),薺菜,2,시력보조|소화력강화,auto,머리·눈·귀,머리·눈·귀|위·소화,0
PLANT_059,채부,사삼 (더덕),沙參,4,기력보강|부종완화|염증완화|기침완화,auto,정기·기력,정기·기력|염증·해독|호흡·폐|신장·소변,2
PLANT_060,채부,제니 (모싯대),薺苨,1,해독,auto,염증·해독,염증·해독,6
PLANT_061,채부,길경 (도라지),桔梗,3,기침완화|호흡완화|해독,auto,호흡·폐,호흡·폐|염증·해독,1
PLANT_062,채부,총백 (파의 흰 밑),葱白,5,해독|시력보조|태보|기침완화|열내림,auto,염증·해독,염증·해독|머리·눈·귀|호흡·폐|여성·부인,6
PLANT_063,채부,대산 (마늘),大蒜,5,해독|감기완화|관절통완화|소화력강화|염증완화,auto,염증·해독,염증·해독|위·소화|근골·관절|정기·기력,6
PLANT_064,채부,구채 (부추),韭菜,3,심신안정|기력보강|허리통증완화,auto,심·신경,심·신경|근골·관절|정기·기력,2
PLANT_065,채부,해채 (염교),薤菜,3,기력보강|소화력강화|열내림,auto,정기·기력,정기·기력|염증·해독|위·소화,2
PLANT_066,채부,형개,荊芥,2,염증완화|두통완화,auto,염증·해독,염증·해독|머리·눈·귀,6
PLANT_067,채부,자소 (차조기),紫蘇,3,소화력강화|가스완화|가래완화,auto,위·소화,위·소화|호흡·폐,1
PLANT_068,채부,향유,香薷,5,부종완화|불안완화|통증완화|열내림|소화력강화,auto,심·신경,심·신경|위·소화|신장·소변|근골·관절|염증·해독,2
PLANT_069,채부,박하,薄荷,3,감기완화|두통완화|열내림,auto,머리·눈·귀,머리·눈·귀|정기·기력|염증·해독,0
PLANT_070,채부,가자 (가지),茄子,3,면역강화|기력보강|열내림,auto+supplement,정기·기력,정기·기력|염증·해독,2
PLANT_071,채부,수근 (미나리),水芹,8,기력보강|신장보강|불안완화|간해독|생리조절|출혈멎음|면역강화|갈증해소,auto,정기·기력,정기·기력|심·신경|위·소화|간·담|혈·순환|여성·부인|신장·소변,2
PLANT_072,채부,순채,蓴菜,3,해독|소화력강화|갈증해소,auto,위·소화,위·소화|염증·해독,1
PLANT_073,채부,요실 (여뀌씨),蓼實,4,시력보조|부종완화|통증완화|신장보강,auto,머리·눈·귀,머리·눈·귀|신장·소변|근골·관절,0
PLANT_074,채부,누호 (물쑥),蔞蒿,2,소화력강화|기력보강,supplement,위·소화,위·소화|정기·기력,1
PLANT_075,채부,목두채 (두릅의 어린 순),木頭菜,2,기력보강|면역강화,supplement,정기·기력,정기·기력,2
PLANT_076,채부,백채 (머위),白菜,4,기침완화|가래완화|해독|부종완화,supplement,호흡·폐,호흡·폐|신장·소변|염증·해독,1
PLANT_077,초부,황정 (층층둥굴레),黃精,4,심신안정|기력보강|소화력강화|기침완화,auto,정기·기력,정기·기력|심·신경|호흡·폐|위·소화,2
PLANT_078,초부,창포 (석창포),菖蒲,6,시력보조|기력보강|관절통완화|통증완화|호흡완화|감기완화,auto,정기·기력,정기·기력|머리·눈·귀|근골·관절|호흡·폐,2
PLANT_079,초부,감국화,甘菊花,3,관절통완화|두통완화|소화력강화,auto,근골·관절,근골·관절|머리·눈·귀|위·소화,4
PLANT_080,초부,인삼,人參,8,시력보조|정신맑음|심신안정|기력보강|가래완화|출혈멎음|소화력강화|기침완화,auto,호흡·폐,호흡·폐|심·신경|머리·눈·귀|위·소화|혈·순환|정기·기력,1
PLANT_081,초부,천문동,天門冬,9,갈증해소|소변개선|피부개선|가래완화|구역완화|구충|출혈멎음|기침완화|신장보강,auto,호흡·폐,호흡·폐|위·소화|신장·소변|혈·순환|피부|염증·해독,1
PLANT_082,초부,감초,甘草,4,뼈근육강화|기력보강|소화력강화|열내림,auto,염증·해독,염증·해독|근골·관절|위·소화|정기·기력,6
PLANT_083,초부,생지황,生地黃,5,생리조절|어혈개선|열내림|출혈멎음|태보,auto,혈·순환,혈·순환|여성·부인|염증·해독,2
PLANT_084,초부,백출 (흰삽주의 뿌리),白朮,6,갈증해소|소화력강화|감기완화|습기개선|심신안정|진액보충,auto,위·소화,위·소화|정기·기력|심·신경,1
PLANT_085,초부,토사자 (새삼의 씨),兎絲子,8,관절통완화|신장보강|남성건강보조|소변개선|갈증해소|면역강화|냉증완화|진액보충,auto+supplement,신장·소변,신장·소변|여성·부인|근골·관절|정기·기력|위·소화,3
PLANT_086,초부,우슬 (쇠무릎),牛膝,5,생리조절|혈액순환|소변개선|남성건강보조|냉증완화,auto,여성·부인,여성·부인|혈·순환|신장·소변|정기·기력,3
PLANT_087,초부,충울자 (익모초의 씨),茺蔚子,2,시력보조|신장보강,auto,머리·눈·귀,머리·눈·귀|신장·소변,0
PLANT_088,초부,시호,柴胡,3,기력보강|면역강화|열내림,auto,정기·기력,정기·기력|염증·해독,2
PLANT_089,초부,맥문동,麥門冬,4,기력보강|기침완화|갈증해소|열내림,auto,호흡·폐,호흡·폐|위·소화|정기·기력|염증·해독,1
PLANT_090,초부,독활 (땃두릅나무),獨活,3,관절통완화|감기완화|냉증완화,auto,근골·관절,근골·관절|정기·기력,4
PLANT_091,초부,강활,羌活,3,관절통완화|감기완화|통증완화,auto+supplement,근골·관절,근골·관절|정기·기력,4
PLANT_092,초부,승마,升麻,5,기력보강|해독|심신안정|면역강화|감기완화,auto,정기·기력,정기·기력|염증·해독|심·신경,2
PLANT_093,초부,차전자 (질경이씨),車前子,4,시력보조|소변개선|염증완화|부종완화,auto,신장·소변,신장·소변|머리·눈·귀|염증·해독,3
PLANT_094,초부,목향,木香,3,소화력강화|통증완화|면역강화,auto,위·소화,위·소화|근골·관절|정기·기력,1
PLANT_095,초부,서여 (산약),薯蕷,4,뼈근육강화|기력보강|부종완화|심신안정,auto,정기·기력,정기·기력|근골·관절|심·신경|신장·소변,2
PLANT_096,초부,택사,澤瀉,2,소변개선|습기개선,auto,신장·소변,신장·소변|정기·기력,3
PLANT_097,초부,원지,遠志,2,심신안정|기억력개선,auto,정기·기력,정기·기력|심·신경,2
PLANT_098,초부,용담,龍膽,3,시력보조|소화력강화|면역강화,auto,머리·눈·귀,머리·눈·귀|위·소화|정기·기력,0
PLANT_099,초부,세신 (족두리풀),細辛,7,시력보조|관절통완화|가스완화|냉증완화|두통완화|기침완화|가래완화,auto,머리·눈·귀,머리·눈·귀|호흡·폐|근골·관절|위·소화|정기·기력,0
PLANT_100,초부,석곡,石斛,3,뼈근육강화|기력보강|신장보강,auto,신장·소변,신장·소변|근골·관절|정기·기력,3
PLANT_101,초부,파극천,巴戟天,2,신장보강|남성건강보조,auto,신장·소변,신장·소변|여성·부인,3
PLANT_102,초부,적전 (천마의 싹),赤箭,3,감기완화|염증완화|해독,auto,염증·해독,염증·해독|정기·기력,6
PLANT_103,초부,암려자 (맑은대쑥의 씨),菴䕡子,2,어혈개선|가스완화,auto,위·소화,위·소화|혈·순환,1
PLANT_104,초부,석명자 (말냉이의 씨),菥蓂子,3,시력보조|신장보강|염증완화,auto,머리·눈·귀,머리·눈·귀|신장·소변|염증·해독,0
